replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,84.9805,84.92521,-9.367889,-0.0047130287,0.0023673112,0.0020249304,-0.010655398,-0.0016786462,0.001355036,0.0020913745,-0.004954119,9.175989,0.833963,10.917795,7.291694,-9.372775,0.8038521,-7.1997504,-11.5215,0.0006389251,0.0009792161,0.0040363343,-0.0026810435,-0.00052494317,0.0014209877,0.0027414113,-0.0049685044,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.016144259260739695,0.02230624255155782,0.1259267458324042,5.690822170223431e-06,8.07212963036985,3.877417965399895,13.26741779314671,1.6169003553290409,0.003616599,0.6265321,0.99940366,-0.9990867,5,8.07212963036985,2500,5,500.0,0.0,500,500,0.020525410001660402,0.027657501328055837,0.07706204298750449,0.0033704478527351216,10.26270500083019,13.826917632432817,37.813009369573095,1.7401759526630594,10.26270500083019,13.826917632432817,37.813009369573095,1.7401759526630594,0.00066305173,0.0008049076,0.0023230633,-0.0012020491,5,10.26270500083019,0.03526210132986307,142.8737990213558,145.25746760889888,0.02327648177742958,0.041192373260855675,29.88310978282243,318.11410736944526,518.0609521316364,0
8300,0.023133304,0.022997577,-14.896115,5.388545,0.08478202,5.544058,4.8797626,5.39867,0.08335084,5.5716796,4.8935957,5.384427,0.13746656,5.8865757,4.9726872,-9.514835,0.4328182,-8.513889,-11.283903,-0.0018336435,0.008925068,0.016023945,-0.025470382,-0.13380407,0.010949956,-0.08898169,-0.18723729,0.3674170970916748,-23.52089500427246,8300,17,500.0,0.0,500,500,0.019508413544461017,0.023163346073223692,0.184718499945744,5.973060448653348e-05,9.754206772230503,3.6240655279275065,15.633312499819189,5.854843104448302,0.00040616706,0.5882377,0.99905616,-0.9983219,5,9.754206772230503,5000,10,500.0,0.0,500,500,0.0339593668371627,0.025349098995344644,0.07788893732833221,0.00228293626577671,16.979683418581352,12.368360785882379,32.19301704906887,1.207677480807871,16.979683418581352,12.368360785882379,32.19301704906887,1.207677480807871,-0.0018420476,0.008648938,0.011229671,-0.01758304,5,16.979683418581352,0.035524001345038414,142.14345647580922,145.63307216670364,0.023635108023881912,0.03079368732869625,30.424701988697052,318.2911834279075,836.3568017529324,1
10800,0.005524519,0.0054356568,-14.3299675,4.885105,0.083828464,5.105782,4.5323358,4.887136,0.08347711,5.1401505,4.513091,4.8963475,0.08833693,5.132303,4.700616,-9.452596,0.40037414,-8.390265,-10.621947,-0.0012625078,0.007015708,0.017642682,-0.019771341,-0.12457415,0.007030618,-0.101196766,-0.15412587,0.13516537845134735,-46.91120147705078,10800,22,500.0,0.0,500,500,0.01586355038926098,0.020543427646876364,0.12303313333119403,4.110698836930678e-05,7.9317751946304895,4.913636593856874,13.586667546934194,1.2039643010632177,0.0014549355,0.5916122,0.998751,-0.99772125,5,7.9317751946304895,7500,15,500.0,0.0,500,500,0.03210163184106945,0.025761448169141683,0.07218620475525395,0.0018005087799206065,16.050815920534724,12.832163613883386,34.325339274442385,1.0314509140172945,16.050815920534724,12.832163613883386,34.325339274442385,1.0314509140172945,-0.001310508,0.006541759,0.010801097,-0.012743746,5,16.050815920534724,0.03587605245411396,142.36685723252594,144.78053906466812,0.023168896324932575,0.03130582720041275,30.482116042636335,317.71986311580986,1154.0812799241394,2
13300,0.0012853387,0.00124599,-14.381324,4.831895,0.08309247,4.9831796,4.5250015,4.8282933,0.082027555,4.9707627,4.5523777,4.8234158,0.08338436,5.0098453,4.502594,-9.5591,0.45202383,-8.237043,-11.209703,-0.009123837,0.009369261,0.0138308685,-0.033752605,-0.11845897,0.00701744,-0.09274845,-0.13921261,0.04972625896334648,-70.68253326416016,13300,27,500.0,0.0,500,500,0.01794950793722734,0.018757216470819515,0.10912812706224398,0.000106889769529143,8.974753968613665,4.635071688554826,13.73247090549502,2.1063124288165005,-0.002861193,0.5931556,0.9991136,-0.9988563,5,8.974753968613665,10000,20,500.0,0.0,500,500,0.04490095836948715,0.022822060885461782,0.08987438189007096,0.01113528401449539,22.450479184743575,10.721334834659867,37.328391485685934,6.294862315368766,22.450479184743575,10.721334834659867,37.328391485685934,6.294862315368766,-0.009244439,0.008990221,0.0066149556,-0.023445662,5,22.450479184743575,0.035339091904461384,142.83832736499608,145.13384554814547,0.023677924647927284,0.031080096028745174,30.45788728725165,318.52015731297433,1472.606048331596,3
15800,0.0006647003,0.000628124,-14.304589,4.781663,0.09388066,4.978319,4.428092,4.7827253,0.09269101,4.963606,4.416963,4.7711535,0.092132196,5.000374,4.4239273,-9.530411,0.5118127,-7.9542375,-11.075558,-0.02046206,0.02967583,0.07896752,-0.10552916,-0.09829707,0.0071142414,-0.07755484,-0.12164505,0.0182963740080595,-94.12287902832031,15800,32,500.0,0.0,500,500,0.021058984477990674,0.019726644759692748,0.10770299158573972,8.971443546947529e-05,10.529492238995335,2.128494652769434,13.127697573057079,7.0147657712074025,-0.016234346,0.5992451,0.9981908,-0.99815154,5,10.529492238995335,12500,25,500.0,0.0,500,500,0.05520454267829156,0.05517414938848599,0.1676084633558589,0.0032167326357414408,27.602271339145783,27.237344809231594,71.29490915102558,2.6783433092922855,27.602271339145783,27.237344809231594,71.29490915102558,2.6783433092922855,-0.019528352,0.026348129,0.041747537,-0.07535851,5,27.602271339145783,0.03605272714048624,150.35693102423102,146.84268139116466,0.023429996334016323,0.03023461252450943,30.74384089652449,328.0331706479192,1800.6438157111406,4
18300,0.0005952388,0.0005310657,-14.200904,4.7594767,0.09639335,4.9271708,4.4127364,4.7620325,0.0947084,4.9302177,4.4119344,4.76398,0.095409065,4.968283,4.4348464,-9.446007,0.76503927,-7.8817797,-11.480758,-0.057121668,0.086345114,0.27142903,-0.31185365,-0.06401967,0.015630927,0.0021248981,-0.11212586,0.006743414327502251,-117.18766021728516,18300,37,500.0,0.0,500,500,0.016139666203531283,0.017118393191844612,0.19584056399931948,5.219986794968712e-05,8.069833101765642,3.4672844265736398,14.858229321621142,5.118153419415661,-0.033396065,0.609937,0.9981548,-0.999071,5,8.069833101765642,15000,30,500.0,0.0,500,500,0.023222614656615376,0.027717547832544404,0.09993303866106897,0.000689495921924151,11.611307328307685,13.409007546932378,37.901055598425316,0.5071653440834183,11.611307328307685,13.409007546932378,37.901055598425316,0.5071653440834183,-0.039301034,0.059227128,0.11547059,-0.1884845,5,11.611307328307685,0.03550902009010315,153.47893724404275,146.8421932309866,0.023716235533356667,0.031308301724493504,30.412107813172042,330.82377184554935,2131.472236080095,5
20800,0.0008959996,0.00093256246,-12.199816,4.670454,0.19896351,5.0163145,3.6947503,4.6615458,0.21441767,4.9960494,3.586563,4.670929,0.20456374,5.0072536,3.7372234,-7.537941,2.0969849,-1.2001504,-12.402218,-0.19211064,0.39230758,1.2745585,-1.225341,-0.04504969,0.061968334,0.17268786,-0.2853395,0.002517825225368142,-128.87054443359375,20800,42,500.0,0.0,500,500,0.010624936391390118,0.028170364223550466,0.20066205517882946,3.0349458501888193e-09,5.312468195695061,8.5978551387015,22.492942243623883,0.33809495019184366,-0.088472754,0.64403915,0.99972844,-0.9994888,5,5.312468195695061,17500,35,500.0,0.0,500,500,0.03401839932961599,0.05619559100829058,0.1890258325483905,7.626037791993075e-08,17.009199664808,27.03098207692938,70.37282844873299,0.23067264542789198,17.009199664808,27.03098207692938,70.37282844873299,0.23067264542789198,-0.119309485,0.24989578,0.7022206,-0.84773296,5,17.009199664808,0.03528917673975229,153.48794991709292,147.5884623983875,0.023350374773144722,0.031151712872087955,30.190085902810097,331.3562894826755,2462.8331243917346,6
23300,0.00083882577,0.000994132,-6.904889,4.5957556,0.3338859,5.059122,2.6682582,4.6044893,0.34189785,5.0909495,2.5661232,4.583132,0.3426163,5.1020355,2.634071,-2.2977636,5.074153,21.13922,-10.657353,-0.20543154,0.8474514,2.4849174,-2.4814336,-0.08746253,0.16697007,0.35207912,-0.7745257,0.0010366362985223532,-111.98204040527344,23300,47,500.0,0.0,500,500,0.005633272195659486,0.023098829743192287,0.2801994660267904,8.733754460384564e-15,2.8166360978297442,4.172043265956758,11.130226434426074,0.2393939017249975,-0.04236236,0.6775197,0.99987984,-0.9996947,5,2.8166360978297442,20000,40,500.0,0.0,500,500,0.002569837987386345,0.007852855856017964,0.07739005984254212,9.940196813810567e-14,1.2849189936931715,0.7398612498470396,2.5752903801505234,0.528819593190069,1.2849189936931715,0.7398612498470396,2.5752903801505234,0.528819593190069,-0.08058077,0.41899446,0.9704889,-0.9831185,5,1.2849189936931715,0.03487477358430624,149.19255788996816,147.5904173059389,0.023811393417418003,0.026027409359812737,30.090982533991337,326.95867130625993,2789.7963829645887,7
25800,0.0016610323,0.0016058714,1.4951657,4.5208817,0.38574153,5.0144534,3.2465246,4.524161,0.38714683,5.020939,3.2287037,4.5106063,0.40019116,5.0321865,3.2206514,6.0301213,8.516493,37.3406,-10.588062,-0.17650224,1.3443658,3.7864451,-5.4615192,-0.15338728,0.26484606,0.7396939,-1.3075454,0.0005314189475029707,-60.08818054199219,25800,52,500.0,0.0,500,500,0.003927330166453542,0.009651327043843047,0.09000617298465916,1.2251866188250915e-12,1.9636650832267697,1.8926829682362176,4.786269259397361,0.11717794518360324,-0.0013317186,0.7326273,0.99999636,-0.9999995,5,1.9636650832267697,22500,45,500.0,0.0,500,500,0.006178142472973656,0.012881870375650301,0.1523885057385726,5.099389429238006e-11,3.089071236486828,3.709760999367104,10.47363612729725,0.8296771786185023,3.089071236486828,3.709760999367104,10.47363612729725,0.8296771786185023,-0.093799286,0.57200325,0.9969822,-0.9988356,5,3.089071236486828,0.0354403555393219,149.8738557677716,150.48825993016362,0.023263944312930107,0.02573462761938572,29.999677853658795,330.44623247906566,3120.2472232608125,8
28300,0.0010234133,0.0012446963,5.8586717,4.4925337,0.37222087,5.059763,3.2291214,4.4977436,0.3722145,5.0945764,3.2368438,4.499568,0.38426328,5.099462,3.213595,10.368495,10.172982,42.513943,-10.460318,-0.14716479,1.5712333,4.1572394,-4.0035906,-0.26402315,0.26064494,0.8106633,-1.132305,0.00035127729643136263,-28.88412857055664,28300,57,500.0,0.0,500,500,0.008076142010335333,0.016599205981760703,0.11427954979190488,8.176255968569041e-12,4.038071005167667,2.57541439836051,6.8450209573917205,1.003221618210222,-0.033651076,0.70483434,0.99999785,-0.9999906,5,4.038071005167667,25000,50,500.0,0.0,500,500,0.0028733855103003697,0.006958212893451835,0.049210730456627216,5.325952641873262e-11,1.4366927551501847,1.1382804276228846,3.640072314867914,0.38919061294174867,1.4366927551501847,1.1382804276228846,3.640072314867914,0.38919061294174867,-0.021445954,0.54488283,0.9998314,-0.9993595,5,1.4366927551501847,0.035563704557716846,146.11587706767023,144.6988021293655,0.023849984630942345,0.031196639873087406,29.977074870839715,320.8823643969372,3441.1341692237183,9
