replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,22.003029,22.032469,-4.690173,0.0011587364,0.00092092156,0.00331312,-0.0020513588,-0.0019963325,0.0013444109,0.0013545651,-0.0061607524,4.6561675,0.5777796,6.1037307,2.9090195,-4.692217,0.601727,-2.9654405,-5.8544645,-2.3478546e-05,0.0013538775,0.004991296,-0.0029395884,-0.00036209574,0.00103417,0.002646936,-0.0035025491,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.004666395074763303,0.006785129720249282,0.05919643251299993,7.239833137930432e-05,2.3331975373816505,1.7091324835488717,4.545234396718906,0.671150601650292,0.0038337419,0.6303544,0.99964,-0.9993247,5,2.3331975373816505,2500,5,500.0,0.0,500,500,0.0014875135125592951,0.0006165526112572687,0.0023919903561973894,0.00011502825071084813,0.7437567562796477,0.020011377251870757,0.7809577901434204,0.7264165284016924,0.7437567562796477,0.020011377251870757,0.7809577901434204,0.7264165284016924,5.904342e-05,0.001158943,0.0025432962,-0.0012305038,5,0.7437567562796477,0.03582241293042898,68.26555625163019,70.02497290074825,0.025838728062808514,0.0344712994992733,32.051455691456795,170.43811728432775,270.86325561627746,0
8300,0.014175471,0.013824652,-7.6075683,2.8024793,0.0949391,2.9167879,2.3908617,2.8032093,0.09135435,2.9189699,2.4054148,2.8211343,0.105284035,3.1655748,2.527897,-4.8105454,0.36276013,-4.026385,-6.7284923,-0.00089422165,0.010592719,0.02958702,-0.017797895,-0.13142826,0.009982252,-0.097219184,-0.17048165,0.3674446642398834,-11.812699317932129,8300,17,500.0,0.0,500,500,0.008283418804874447,0.01183571063756907,0.09177798884470441,0.0001036270023548709,4.1417094024372245,2.861306138782424,7.771118756837498,0.7039809127478753,0.001672699,0.5888765,0.99870425,-0.99837214,5,4.1417094024372245,5000,10,500.0,0.0,500,500,0.0014699189330276549,0.0005924942374814981,0.002266790185612546,0.00010795875741580599,0.7349594665138275,0.01220071753026544,0.7456210931497701,0.7191484402359626,0.7349594665138275,0.01220071753026544,0.7456210931497701,0.7191484402359626,-0.0006015455,0.010802469,0.022227801,-0.011374056,5,0.7349594665138275,0.03543149493634701,67.03319982346147,68.90596727468073,0.026007795706391335,0.03083113767206669,32.231333278119564,168.26277080457658,439.131264815107,1
10800,0.0024578928,0.0023275553,-7.403988,2.6022596,0.047395095,2.8537555,2.4142377,2.600959,0.045399595,2.802577,2.4121106,2.6017241,0.05403989,2.8230937,2.418763,-4.807581,0.26037472,-4.183218,-6.008598,0.00032311823,0.0033995425,0.007579307,-0.008315032,-0.12235279,0.0072804713,-0.097051986,-0.15389673,0.13516399264335632,-23.618295669555664,10800,22,500.0,0.0,500,500,0.004164762890111885,0.004792955840532948,0.03156572063748904,7.91842754698137e-05,2.0823814450559426,1.1651487044526938,3.965397681918803,0.7975287875805724,-0.0015359886,0.5925135,0.9966462,-0.9981823,5,2.0823814450559426,7500,15,500.0,0.0,500,500,0.0014220673751730352,0.000601660626881815,0.0022382705358705594,8.712871948925574e-05,0.7110336875865176,0.005496454621776819,0.7198454664536996,0.7024914429377159,0.7110336875865176,0.005496454621776819,0.7198454664536996,0.7024914429377159,0.000501327,0.0033970624,0.0064128027,-0.0055415127,5,0.7110336875865176,0.03543735947459936,66.78414269257337,69.32439498603344,0.025908950716257095,0.0264332452788949,32.08921441342682,168.28553164750338,607.4219471570104,2
13300,0.00023782626,0.00022304726,-7.3159394,2.5444057,0.04987599,2.603106,2.3538013,2.545681,0.049487468,2.5981293,2.3592687,2.5458355,0.04753139,2.6255853,2.372345,-4.7740755,0.32460952,-3.9835973,-5.8827353,0.0038380267,0.009483829,0.028448563,-0.029057706,-0.115034394,0.008453906,-0.09741546,-0.14089578,0.049726009368896484,-35.324893951416016,13300,27,500.0,0.0,500,500,0.005154571718157658,0.01262911451634504,0.11569562255511179,0.00010730163958621158,2.57728585907883,3.189827869252094,8.94545859181925,0.7421190839283265,0.0026681984,0.59071624,0.99921876,-0.9982952,5,2.57728585907883,10000,20,500.0,0.0,500,500,0.0014701897892966927,0.0006109177612157331,0.0023289005978947308,0.00011235296433652744,0.7350948946483464,0.014442069291228685,0.7564561956939451,0.718888039311572,0.7350948946483464,0.014442069291228685,0.7564561956939451,0.718888039311572,0.0026656934,0.009015136,0.021309925,-0.009507563,5,0.7350948946483464,0.03526334185153246,67.19145450368524,69.0702644744888,0.02587849460542202,0.02591290045529604,32.06620274297893,168.4149764580652,775.8420493872836,3
15800,0.00010109804,0.00011109493,-7.3446565,2.5265672,0.036622074,2.591319,2.344997,2.5257206,0.03624755,2.590668,2.3447802,2.5271072,0.037451208,2.601543,2.3495467,-4.8209257,0.36650646,-3.8241653,-6.6392903,-0.00050018134,0.020173477,0.054961815,-0.073526815,-0.0906906,0.009498444,-0.067081064,-0.12114382,0.018300658091902733,-47.281551361083984,15800,32,500.0,0.0,500,500,0.007996990640778724,0.013892593694853813,0.11603329427089921,9.822281330797557e-05,3.998495320389361,4.173738787304505,12.03575486312197,0.6789180021472182,-0.005297771,0.60306144,0.9987163,-0.9985382,5,3.998495320389361,12500,25,500.0,0.0,500,500,0.001378729070457614,0.0005752351944736789,0.0021645882990117818,0.00010142028043082632,0.689364535228807,0.0037734354369641436,0.6926189535052175,0.6846888058332734,0.689364535228807,0.0037734354369641436,0.6926189535052175,0.6846888058332734,-0.0076560825,0.015633332,0.039344113,-0.05337501,5,0.689364535228807,0.03508466016501188,67.64686949178576,69.23897919245064,0.026062854565680027,0.02604367770254612,32.10785205475986,169.0808919314295,944.928023844026,4
18300,0.00022159773,0.00023406383,-7.227092,2.502109,0.037641857,2.5934737,2.3263988,2.5030558,0.03673442,2.5940611,2.3364542,2.5063305,0.040590737,2.6388657,2.3236005,-4.726762,0.49494553,-3.4027314,-6.2318115,0.03162365,0.08669446,0.31772402,-0.17604595,-0.054873984,0.021446817,0.032744832,-0.1186802,0.006743758451193571,-58.61200714111328,18300,37,500.0,0.0,500,500,0.015574406567824701,0.026311505858266408,0.16533530163157867,9.455716217931079e-05,7.787203283912352,5.424659373186674,15.999369711762464,1.9841486402090631,0.024526464,0.61313593,0.99915093,-0.9988897,5,7.787203283912352,15000,30,500.0,0.0,500,500,0.011519538072368305,0.015037468316873128,0.06749635869342781,9.295465472799039e-05,5.759769036184155,0.19272321186138752,6.088609961398682,5.532586739379645,5.759769036184155,0.19272321186138752,6.088609961398682,5.532586739379645,0.040171165,0.083228454,0.22130667,-0.09150663,5,5.759769036184155,0.03572943061590195,71.06390467099845,69.7854677401483,0.025123205967247486,0.025452427566051483,32.091279132291675,173.02695660758764,1117.9601535536349,5
20800,0.00049433205,0.0004406859,-6.737623,2.4879768,0.04630615,2.657729,2.3072581,2.4883356,0.045663074,2.6457884,2.3070548,2.4896655,0.05383314,2.674098,2.3036854,-4.2501507,1.1380864,0.99265635,-6.469819,-0.004217874,0.27276686,0.85739464,-0.9300543,0.0034202726,0.045068942,0.15890096,-0.14718845,0.002507817931473255,-67.35881042480469,20800,42,500.0,0.0,500,500,0.012577394401247525,0.02278361758207794,0.15388378902448127,3.973025460810174e-05,6.288697200623759,7.611371672609307,21.12647152320452,0.7377883865323862,-0.017583502,0.6359371,0.9992211,-0.9994368,5,6.288697200623759,17500,35,500.0,0.0,500,500,0.00785337499618661,0.017330924925217726,0.09123323047862981,0.00010567394169127123,3.9266874980933055,5.389489987565739,14.662252350132954,0.5899477409344335,3.9266874980933055,5.389489987565739,14.662252350132954,0.5899477409344335,-0.03619529,0.12483469,0.62870127,-0.61584,5,3.9266874980933055,0.03548343013972044,71.7951494725421,70.62000434286892,0.02506235335022211,0.025591475889086723,31.880846039392054,174.38213711418211,1292.3472055401653,6
23300,0.000691929,0.0010828949,-3.6731048,2.4765205,0.06992861,2.659778,2.1534925,2.4790626,0.06994649,2.6722627,2.2123504,2.4765353,0.07016871,2.6748595,2.1542282,-1.192924,3.3063407,11.196606,-6.737565,0.06750939,0.91276985,3.187834,-2.5802746,-0.05765807,0.15856214,0.6799494,-0.60567605,0.0009882793528959155,-56.684547424316406,23300,47,500.0,0.0,500,500,0.01761110479421579,0.04485060699708514,0.24423864266666723,3.2752710017016588e-06,8.805552397107894,13.641417663957698,36.05306351884183,1.1015271877056463,-0.03821386,0.694676,0.9998405,-0.9999874,5,8.805552397107894,20000,40,500.0,0.0,500,500,0.012326706315037439,0.013637423135104678,0.03993676071306776,6.706449058176536e-05,6.163353157518722,5.95510310253594,13.596294551066947,0.8696262957214842,6.163353157518722,5.95510310253594,13.596294551066947,0.8696262957214842,-0.04619544,0.54702204,0.98172677,-0.99979544,5,6.163353157518722,0.03567811660468578,73.78531433921307,71.66021189186722,0.025181470438838005,0.025720421224832535,31.722694292664528,177.25480053201318,1469.6069097304717,7
25800,0.00017074317,0.00032882098,-0.5028427,2.461703,0.0987091,2.8918405,2.1314497,2.470166,0.10283567,2.9559731,2.1307943,2.4588,0.09987875,2.927699,2.1479445,1.9655995,5.2927966,18.145859,-7.24575,0.14553411,1.2447916,2.801484,-4.0775256,-0.16084136,0.22677156,0.5404772,-0.91853833,0.0004885881789959967,-38.379249572753906,25800,52,500.0,0.0,500,500,0.017670311777713152,0.03441635701565647,0.16415867715499372,0.00011283785513445789,8.835155888856573,12.99884412052086,34.71756431665338,1.1429222642080772,-0.062057793,0.72743124,1.0,-0.9999947,5,8.835155888856573,22500,45,500.0,0.0,500,500,0.01954028899276442,0.017423250480217874,0.0834781738222791,0.00011395561039147642,9.77014449638221,4.611491421822707,16.50327944367558,3.1771529108529397,9.77014449638221,4.611491421822707,16.50327944367558,3.1771529108529397,0.021653628,0.44912845,0.97370756,-0.9155333,5,9.77014449638221,0.03529991768300533,74.3802973004058,70.44321853015572,0.02585859503597021,0.0260611679404974,31.530125798657537,176.44086130987853,1646.0526786828414,8
28300,0.00047742418,0.00031254254,2.339226,2.459485,0.09656527,2.738678,2.0318916,2.4502273,0.09911492,2.7248204,2.0502462,2.442131,0.09748827,2.7598524,2.0110571,4.7964654,6.336095,29.557281,-9.238698,0.22591154,1.5239733,3.9860682,-3.5784595,-0.26488993,0.2607328,0.5561083,-1.123022,0.00032016538898460567,-17.73037338256836,28300,57,500.0,0.0,500,500,0.0027613626078311078,0.004555926524940779,0.04917616447203884,0.00012550870213031264,1.3806813039155543,0.3468602991049399,1.7873076075608731,0.9969948491632659,-0.0888819,0.7171343,0.99998975,-0.99999404,5,1.3806813039155543,25000,50,500.0,0.0,500,500,0.0022352310344067577,0.0026333898144286555,0.02216076913093834,1.4215987135105334e-07,1.117615517203379,0.4166847090609067,1.9235249949140492,0.7956769692392497,1.117615517203379,0.4166847090609067,1.9235249949140492,0.7956769692392497,-0.06539914,0.6620025,0.9999995,-0.9999985,5,1.117615517203379,0.03425407409667969,68.4909099182114,68.61760891415179,0.025744604878127575,0.02582602296024561,31.521302916109562,168.7156464504078,1814.7733744541183,9
