replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,71.403076,71.25762,-7.9919233,-0.0065748747,0.0019611262,-0.0019067372,-0.011838858,0.0020825411,0.0018294208,0.007203847,-0.003549633,8.408012,0.7729569,10.48673,6.2973957,-7.998436,0.88965154,-6.125186,-10.487699,-0.00028523456,0.0017269439,0.0048785512,-0.0036720214,-0.00012718789,0.0013154185,0.0038779047,-0.0038515795,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.49748064736359265,0.06950832213807155,0.6843274077772779,0.2708637727403216,248.7403236817964,11.155290170418812,265.23598112420444,235.79592273086473,-0.0039578024,0.6290583,0.99950236,-0.999309,5,248.7403236817964,2500,5,500.0,0.0,500,500,0.5236316890274546,0.018207522874683954,0.5622824528514768,0.4816791124088828,261.81584451372737,4.893147863591376,268.417031644457,254.49795851178263,261.81584451372737,4.893147863591376,268.417031644457,254.49795851178263,-0.00016840067,0.0016058095,0.00356728,-0.0018694936,5,261.81584451372737,0.036410143598914146,103.63914506323636,106.45382808428258,0.026118457317352295,0.035976072773337364,32.81446012482047,243.005937946029,389.3315681517124,0
8300,0.034058277,0.034875233,-13.576971,5.344081,0.14427356,5.667092,4.8835874,5.337611,0.15108629,5.649741,4.713153,5.3250675,0.18722558,6.0265822,4.9500523,-8.252846,0.4653313,-7.3587117,-10.003012,0.0038546417,0.008754159,0.025417497,-0.020189244,-0.12534428,0.013231506,-0.09540731,-0.16785645,0.36741894483566284,-20.257965087890625,8300,17,500.0,0.0,500,500,0.4858627893740262,0.08556737013789932,0.6975166439181337,0.2479848207826041,242.9313946870131,25.630544969095368,272.26292080122255,212.15249477220874,0.0016559724,0.5941619,0.9978015,-0.9986797,5,242.9313946870131,5000,10,500.0,0.0,500,500,0.5541086268719422,0.022320936718214137,0.5946705180389114,0.49864422927060875,277.0543134359712,3.603760350950164,283.3825926891706,272.62925619166964,277.0543134359712,3.603760350950164,283.3825926891706,272.62925619166964,0.0045033814,0.008015072,0.0148147335,-0.0117501095,5,277.0543134359712,0.036049761809408665,103.4548270655796,106.77952305134386,0.026426187716424465,0.029652493074536324,33.098112533800304,243.42459109332412,632.7613827129826,1
10800,0.006086116,0.00594423,-13.395026,5.226036,0.14294018,5.530683,4.7486243,5.2294297,0.1408337,5.5522127,4.7392154,5.233663,0.15448126,5.693302,4.8962884,-8.179312,0.4866775,-6.9526334,-10.427535,0.0043980833,0.017769117,0.046056394,-0.033847988,-0.13052064,0.007959882,-0.10927708,-0.16416459,0.1351660192012787,-40.363712310791016,10800,22,500.0,0.0,500,500,0.4766445031774448,0.08001422821881383,0.6774342683047622,0.281398548283867,238.3222515887225,22.740485929373907,269.99069236772567,207.52135125030506,-0.0002304172,0.5900061,0.99804735,-0.99839354,5,238.3222515887225,7500,15,500.0,0.0,500,500,0.47804272098624206,0.02945487826552961,0.5274523738646647,0.39530247046423506,239.02136049312102,7.043718488838948,245.86688354392044,225.6369927825662,239.02136049312102,7.043718488838948,245.86688354392044,225.6369927825662,0.0042866976,0.017978555,0.044016585,-0.024684897,5,239.02136049312102,0.03697383031249046,111.54015053715557,104.88075301330537,0.02639035787433386,0.028604923747479916,33.18901669513434,249.70188935752958,882.4683940354735,2
13300,0.0031074397,0.002887236,-13.730228,5.5528564,0.15902811,5.893039,5.1149955,5.555092,0.16073643,5.9327846,5.099,5.564904,0.16704272,5.9386277,5.165309,-8.187382,0.45197663,-7.2475495,-9.724748,0.0015741624,0.02685562,0.062432714,-0.045535807,-0.10926632,0.007163692,-0.09068528,-0.13807672,0.04972812160849571,-60.565879821777344,13300,27,500.0,0.0,500,500,0.506430950030927,0.07724592238167469,0.70607127911812,0.2969823152213115,253.21547501546337,14.723704649313762,274.8274432991802,236.55047024193047,-0.003740999,0.5966835,0.9995185,-0.99896663,5,253.21547501546337,10000,20,500.0,0.0,500,500,0.5352901774824301,0.01678695148818092,0.603025289139576,0.4883772868720091,267.6450887412151,4.217765150225261,273.71704179486176,264.11362360433526,267.6450887412151,4.217765150225261,273.71704179486176,264.11362360433526,0.001919559,0.02785499,0.05923249,-0.035367675,5,267.6450887412151,0.03660930413752794,111.33879715576768,105.21771200466901,0.026383064687252045,0.0318950405344367,33.13896871171892,249.79036528151482,1132.2639140170068,3
15800,0.002860309,0.0035340989,-14.08619,5.9746065,0.2538603,6.660587,5.3207912,5.9779367,0.2531519,6.6494727,5.3501124,5.98235,0.24590003,6.504517,5.3422256,-8.117868,0.5737658,-6.1546383,-9.1876955,0.011982724,0.1161817,0.34308496,-0.41653395,-0.07700319,0.017361179,-0.015630493,-0.123988435,0.0183259304612875,-80.4401626586914,15800,32,500.0,0.0,500,500,0.5166892659725366,0.08810702861571637,0.7260225407852531,0.2576237990265999,258.34463298626827,16.696975653990304,277.9384019536783,229.4243091737644,0.0062312526,0.61034137,0.9986451,-0.99882007,5,258.34463298626827,12500,25,500.0,0.0,500,500,0.6170578319135782,0.0361971686167961,0.7034680329621881,0.48143289525813826,308.5289159567891,9.035828652281431,321.34376338059815,292.9944877459324,308.5289159567891,9.035828652281431,321.34376338059815,292.9944877459324,0.009816044,0.0934807,0.26841173,-0.3049267,5,308.5289159567891,0.036254098638892174,119.21209904644638,108.79620629735291,0.026322847232222557,0.03188912943005562,33.17342257499695,261.2761939940974,1393.5452253110707,4
18300,0.0031198054,0.0035743765,-12.571269,6.2949257,0.33523825,7.0178304,4.9048715,6.2818756,0.33729807,6.9533505,4.8512106,6.3055587,0.32946223,7.0409474,4.984694,-6.2736635,2.4839244,1.9548731,-12.46546,0.041236077,0.5177252,1.8514721,-1.45993,-0.03274825,0.06918376,0.1728198,-0.41987777,0.0069133080542087555,-90.88184356689453,18300,37,500.0,0.0,500,500,0.41875539291840613,0.11470519733138804,0.7023834912064943,0.15463962206737017,209.37769645920315,25.402530728063432,246.11361535881636,176.36156063784114,-0.023244647,0.652245,0.99979573,-0.9996111,5,209.37769645920315,15000,30,500.0,0.0,500,500,0.43898214459045676,0.1174733456164668,0.6962784954599588,0.15289573304881843,219.49107229522838,27.4928090112273,247.37415652798055,168.34238836839694,219.49107229522838,27.4928090112273,247.37415652798055,168.34238836839694,-0.03929088,0.53578734,0.9778805,-0.9591642,5,219.49107229522838,0.03727591037750244,113.30497283674777,107.36899853590876,0.026013527996838093,0.02893438469618559,33.04258512891829,253.80878032464534,1647.3591979863122,5
20800,0.007639026,0.008393594,-6.5985446,6.6784,0.5495957,7.4443707,4.389461,6.688345,0.5424247,7.4840913,4.3529162,6.7053714,0.5495139,7.5132217,4.41553,0.12127262,5.754427,17.967466,-9.58581,0.08048994,1.0782534,2.594694,-3.9134035,-0.1082075,0.2024474,0.6092891,-0.9524687,0.0030217128805816174,-68.91133880615234,20800,42,500.0,0.0,500,500,0.36751620086524156,0.16106889139596986,0.9318623523855774,0.07320849087795821,183.75810043262078,45.19861388985549,248.4106812699809,128.18520821052664,0.0107743265,0.7030999,0.9998318,-0.9999415,5,183.75810043262078,17500,35,500.0,0.0,500,500,0.2465085421070769,0.14183487852872897,0.704890948712055,0.01968917637092185,123.25427105353849,18.002698637805764,155.4226986109591,103.10088735018796,123.25427105353849,18.002698637805764,155.4226986109591,103.10088735018796,-0.02197424,0.64751714,0.99578977,-0.9998722,5,123.25427105353849,0.036727084778249264,107.9886687323451,106.22473136521876,0.025828436948359013,0.0320103308185935,32.86764190066606,247.17560785077512,1894.5399369364604,6
23300,0.007067402,0.006957345,-1.953389,7.2435403,0.5380977,8.291252,5.49616,7.234994,0.52814883,8.252885,5.4898243,7.2236433,0.53604025,8.26071,5.3410664,5.3499126,7.877263,28.68356,-10.28768,-0.021272765,1.3593346,3.289974,-3.003949,-0.19717844,0.27179572,0.7430148,-1.0195104,0.0018421751447021961,-41.871192932128906,23300,47,500.0,0.0,500,500,0.45944432220441905,0.0933222224585577,0.6998492991304727,0.18711210858991625,229.7221611022096,10.148557550386169,243.22315303673466,217.85727345875915,-0.031159112,0.71623856,0.9999185,-0.99994123,5,229.7221611022096,20000,40,500.0,0.0,500,500,0.478563321669813,0.13328732421435108,0.6941778967184938,0.14486745822856256,239.2816608349064,42.76558785608882,313.7836112451522,180.15226853018777,239.2816608349064,42.76558785608882,313.7836112451522,180.15226853018777,-0.03318091,0.6090871,0.99787956,-0.99797165,5,239.2816608349064,0.03712935745716095,109.30406912602484,110.5955596929416,0.025955679826438427,0.02718259021639824,33.25271617528051,253.24261262174696,2147.7876405054703,7
25800,0.016369395,0.0131292185,2.6244876,7.5087957,0.91432744,8.817196,4.14467,7.4746284,0.8956058,8.782946,4.1040516,7.414486,0.90381545,8.756362,4.326292,10.189129,8.199833,32.31465,-6.0256534,-0.043268014,1.6021333,3.56249,-4.384796,-0.30230883,0.24079412,0.6431529,-1.0033178,0.0015710099833086133,-11.69113826751709,25800,52,500.0,0.0,500,500,0.34617356137094507,0.13215940674206836,0.7004727906427911,0.10512389869144359,173.08678068547255,14.338374230357669,187.2548220592882,154.41323846502536,-0.058640372,0.73286474,0.99983996,-0.99993384,5,173.08678068547255,22500,45,500.0,0.0,500,500,0.4531318282907092,0.10993568908253754,0.6967043039529108,0.18388432636994897,226.5659141453546,12.340902941916564,241.0881787797275,209.16296030201153,226.5659141453546,12.340902941916564,241.0881787797275,209.16296030201153,-0.013630575,0.6698105,0.9998661,-0.9999824,5,226.5659141453546,0.03635803144425154,105.1523463120684,107.674391890876,0.026859854348003864,0.029137597419321537,32.98615812603384,245.90525181218982,2393.6979840192944,8
28300,0.013501172,0.01532344,3.6631603,7.99782,0.9158461,9.769531,5.223835,7.990633,0.9114053,9.804358,5.207802,7.930994,0.89411646,9.6792965,5.3717327,11.758019,7.726594,33.509403,-5.9633307,0.1051544,1.7053503,3.8465374,-3.269064,-0.33481133,0.23483665,0.69274163,-1.1391102,0.0017737960442900658,-1.5328752994537354,28300,57,500.0,0.0,500,500,0.4440797001588111,0.11611521987937821,0.6909611197840163,0.14302840287610855,222.03985007940565,21.19006021427385,247.16129870477812,189.6264079054585,0.04236827,0.7592894,0.9999871,-0.99987847,5,222.03985007940565,25000,50,500.0,0.0,500,500,0.428090266910065,0.1301685676356045,0.7215348236023036,0.13933821070847047,214.0451334550326,26.116627965471494,253.89957490847058,183.26347146497358,214.0451334550326,26.116627965471494,253.89957490847058,183.26347146497358,0.015769873,0.71119034,0.9999384,-0.99957716,5,214.0451334550326,0.03598755784332752,107.40615399833769,107.56246144510806,0.026479649357497692,0.032306001521646976,32.74279210716486,247.80618075933307,2641.509415456094,9
