replay_buffer/size,trainer/QF1 Loss,trainer/QF2 Loss,trainer/Policy Loss,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Min,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Min,trainer/Q Targets Mean,trainer/Q Targets Std,trainer/Q Targets Max,trainer/Q Targets Min,trainer/Log Pis Mean,trainer/Log Pis Std,trainer/Log Pis Max,trainer/Log Pis Min,trainer/Policy mu Mean,trainer/Policy mu Std,trainer/Policy mu Max,trainer/Policy mu Min,trainer/Policy log std Mean,trainer/Policy log std Std,trainer/Policy log std Max,trainer/Policy log std Min,trainer/Alpha,trainer/Alpha Loss,exploration/num steps total,exploration/num paths total,exploration/path length Mean,exploration/path length Std,exploration/path length Max,exploration/path length Min,exploration/Rewards Mean,exploration/Rewards Std,exploration/Rewards Max,exploration/Rewards Min,exploration/Returns Mean,exploration/Returns Std,exploration/Returns Max,exploration/Returns Min,exploration/Actions Mean,exploration/Actions Std,exploration/Actions Max,exploration/Actions Min,exploration/Num Paths,exploration/Average Returns,evaluation/num steps total,evaluation/num paths total,evaluation/path length Mean,evaluation/path length Std,evaluation/path length Max,evaluation/path length Min,evaluation/Rewards Mean,evaluation/Rewards Std,evaluation/Rewards Max,evaluation/Rewards Min,evaluation/Returns Mean,evaluation/Returns Std,evaluation/Returns Max,evaluation/Returns Min,evaluation/ExplReturns Mean,evaluation/ExplReturns Std,evaluation/ExplReturns Max,evaluation/ExplReturns Min,evaluation/Actions Mean,evaluation/Actions Std,evaluation/Actions Max,evaluation/Actions Min,evaluation/Num Paths,evaluation/Average Returns,time/data storing (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/training (s),time/epoch (s),time/total (s),Epoch
5800,27.919926,28.005354,-5.3685837,0.0005425533,0.0012752458,0.0035642148,-0.0021075837,-0.007558207,0.0008554007,-0.0056384476,-0.010140023,5.2554703,0.55296713,6.4731827,3.9236197,-5.3761272,0.5938985,-4.0584307,-6.8238816,0.0005484788,0.0011587278,0.0024604783,-0.0021793032,-0.0006852619,0.0014129858,0.0014384786,-0.0030057072,0.9990004897117615,-0.0,5800,12,500.0,0.0,500,500,0.0030337601156557696,0.0073202187559695125,0.1186423815726697,0.00011138047370281137,1.516880057827885,0.9394450353381119,3.181904156413338,0.6789351071862824,0.004785982,0.6295779,0.99942505,-0.99942654,5,1.516880057827885,2500,5,500.0,0.0,500,500,0.0014601430756088624,0.0006071907222316409,0.002297863816570462,9.892582641176219e-05,0.7300715378044315,0.011510184225098086,0.7443109136142618,0.7126800403123007,0.7300715378044315,0.011510184225098086,0.7443109136142618,0.7126800403123007,0.000556892,0.0011488677,0.0021887163,-0.0015219373,5,0.7300715378044315,0.03433420602232218,63.699411056004465,65.54186732973903,0.02596350759267807,0.03446179535239935,31.05417702998966,160.39021492470056,251.51663715112954,0
8300,0.012829479,0.012854868,-8.619743,3.1965573,0.03673953,3.268624,2.9744098,3.1976008,0.0336165,3.246654,2.993012,3.1826766,0.11501459,3.65998,2.908487,-5.4266624,0.2932454,-4.6527553,-6.760167,0.00595394,0.008029278,0.022069443,-0.0077101616,-0.13039503,0.006028056,-0.117194094,-0.14547777,0.36745038628578186,-13.428911209106445,8300,17,500.0,0.0,500,500,0.005168328891524134,0.01165118387209354,0.10969983465790539,0.0001304667212044987,2.5841644457620667,3.725349644597513,10.03417115994679,0.677567498676274,0.0070592742,0.5912898,0.9982846,-0.99808913,5,2.5841644457620667,5000,10,500.0,0.0,500,500,0.0013947584805726872,0.0005778669795641814,0.0021797826923129213,7.425716431648924e-05,0.6973792402863436,0.009550772902493385,0.7115275406168357,0.6833119498520339,0.6973792402863436,0.009550772902493385,0.7115275406168357,0.6833119498520339,0.0060619414,0.0080320025,0.020253653,-0.0070258053,5,0.6973792402863436,0.0351028498262167,62.055735672824085,64.15707276482135,0.026125182397663593,0.026134498417377472,31.54573654104024,157.84590750932693,409.3676487179473,1
10800,0.0017875966,0.0018472048,-8.329978,2.9200976,0.021866567,2.9544923,2.812748,2.9185119,0.022127662,2.9482305,2.8166149,2.9198627,0.045416273,3.0669403,2.760694,-5.414851,0.3078576,-4.6428013,-6.4001474,0.0036520995,0.0053038974,0.010641312,-0.008368042,-0.122091934,0.008225809,-0.10849784,-0.13775876,0.13518233597278595,-26.831466674804688,10800,22,500.0,0.0,500,500,0.0017267343046270228,0.0013094112021278038,0.010528353748649697,0.00011570845724422477,0.8633671523135117,0.2536505397552994,1.3542582156528795,0.6744761773284806,-0.0048330096,0.5932283,0.99746364,-0.997945,5,0.8633671523135117,7500,15,500.0,0.0,500,500,0.0014252544262720612,0.0005874679030106817,0.002213986061493368,0.00012928119016699226,0.7126272131360306,0.0024009626922901575,0.7163208212521813,0.7094725784659649,0.7126272131360306,0.0024009626922901575,0.7163208212521813,0.7094725784659649,0.003675251,0.0053297365,0.010372519,-0.00801794,5,0.7126272131360306,0.03373165987432003,62.324784339405596,63.393410039134324,0.02648098859935999,0.02613193169236183,31.48200696706772,157.28654592577368,566.6592459473759,2
13300,0.00026003903,0.00028914923,-8.314483,2.868807,0.01875413,2.9020066,2.808648,2.8687577,0.019135458,2.8971117,2.806235,2.8674192,0.02468867,2.9595892,2.7971952,-5.4480486,0.31729904,-4.771965,-6.4367146,0.0016393812,0.004305642,0.013227249,-0.00408588,-0.11863762,0.0049042683,-0.10936569,-0.12841454,0.049726106226444244,-40.3471794128418,13300,27,500.0,0.0,500,500,0.0019190301488897353,0.0010457216685052111,0.005921967861500994,0.0001000349758676812,0.9595150744448677,0.16775703265591377,1.1659128442321165,0.7468115558557944,-0.004811699,0.593041,0.999298,-0.9977136,5,0.9595150744448677,10000,20,500.0,0.0,500,500,0.0014771185159683676,0.0006120800388205234,0.0024061879007975244,8.244276493004202e-05,0.7385592579841835,0.03155061905021284,0.7990378897177502,0.7070822895283745,0.7385592579841835,0.03155061905021284,0.7990378897177502,0.7070822895283745,0.001642384,0.0042911503,0.012235271,-0.0032101695,5,0.7385592579841835,0.033118655905127525,62.257852523587644,63.72559452243149,0.026347591541707516,0.025370369665324688,31.40075866691768,157.46904233004898,724.1334120817482,3
15800,4.8462512e-05,4.0980587e-05,-8.26327,2.8348303,0.022859316,2.8671253,2.715654,2.836475,0.021940034,2.8721116,2.7224424,2.8347754,0.022836145,2.8732355,2.716532,-5.4296284,0.3501156,-4.6790853,-6.367493,0.008564041,0.0061822766,0.019989982,-0.0022022726,-0.09470348,0.002347082,-0.08855792,-0.10096227,0.01829574629664421,-53.71968078613281,15800,32,500.0,0.0,500,500,0.0013900528923402383,0.0005592356838639323,0.0021602667796425954,0.000114495998226012,0.6950264461701193,0.016474729216923636,0.7240781327372376,0.673767960294478,0.011156511,0.6013569,0.99832845,-0.99918425,5,0.6950264461701193,12500,25,500.0,0.0,500,500,0.0013888503006921308,0.00058062513177301,0.0021766197016147575,9.183461005809036e-05,0.694425150346065,0.006586885789593065,0.7054288529003043,0.686551823575327,0.694425150346065,0.006586885789593065,0.7054288529003043,0.686551823575327,0.008655449,0.0061714477,0.01795486,0.00074769213,5,0.694425150346065,0.03327468503266573,62.63953768275678,62.75606184080243,0.02558540180325508,0.025594402104616165,31.35452091321349,156.83457492571324,880.9730005376041,4
18300,1.6286209e-05,1.1616591e-05,-8.253119,2.8023129,0.023204971,2.8648028,2.7315085,2.8027172,0.022733383,2.8723085,2.7275498,2.8025699,0.022143355,2.8738136,2.7312555,-5.452117,0.38390636,-4.4442024,-7.289405,0.018163536,0.019114073,0.08619055,-0.010381388,-0.07554476,0.003824058,-0.06581882,-0.09215965,0.006734651513397694,-67.25373077392578,18300,37,500.0,0.0,500,500,0.0014592989651677345,0.000610151942620813,0.003986850116140188,8.54567324972867e-05,0.7296494825838672,0.07848737212415927,0.8832634430569873,0.6704841047008029,0.017178338,0.60564965,0.99802464,-0.9982338,5,0.7296494825838672,15000,30,500.0,0.0,500,500,0.001370851954479955,0.000575664370511805,0.002157053647681485,0.00011675341268498464,0.6854259772399776,0.00178450255398945,0.6882416333008289,0.6828111849111949,0.6854259772399776,0.00178450255398945,0.6882416333008289,0.6828111849111949,0.019004935,0.022451052,0.07885632,-0.0076788915,5,0.6854259772399776,0.03388122748583555,64.51642145495862,63.98004185128957,0.02568756230175495,0.025336620397865772,31.164726386778057,159.7460951032117,1040.7239951975644,5
20800,2.9435207e-05,1.7939748e-05,-8.165407,2.777262,0.02768929,2.865571,2.6639044,2.7778525,0.027197447,2.8759232,2.6714308,2.7771335,0.02812902,2.9090052,2.6692173,-5.3888597,0.66288614,-3.7829993,-6.6763816,0.06651534,0.09379152,0.3326187,-0.23082426,-0.03148371,0.012833668,0.00939079,-0.056647897,0.0024849155452102423,-80.2865982055664,20800,42,500.0,0.0,500,500,0.0013624157185869478,0.0005792638040232414,0.0022195236024894023,9.487377769814133e-05,0.6812078592934738,0.004599397060389498,0.6880346286595012,0.6752353007358611,0.03770284,0.6131609,0.9977976,-0.9990597,5,0.6812078592934738,17500,35,500.0,0.0,500,500,0.0013510304961057492,0.0005932772892372424,0.00215692013373961,7.74197324697369e-05,0.6755152480528748,0.0014518895309553277,0.6777037977559088,0.6735004444284346,0.6755152480528748,0.0014518895309553277,0.6777037977559088,0.6735004444284346,0.057442427,0.07597478,0.25022382,-0.0675141,5,0.6755152480528748,0.03389402572065592,67.41481923311949,66.89520068839192,0.025725437328219414,0.025747540406882763,31.32968020811677,165.72506713308394,1206.453967096284,6
23300,1.0477492e-05,7.111713e-06,-7.471139,2.7426243,0.034019142,2.7949233,2.4957228,2.7440119,0.03375814,2.7972794,2.499092,2.744092,0.03370312,2.793514,2.5041413,-4.727542,1.3114035,-0.091208816,-7.931613,0.16272655,0.27915204,1.2148057,-0.51383317,0.060522612,0.051829673,0.23714548,-0.14496773,0.000929804693441838,-88.83283233642578,23300,47,500.0,0.0,500,500,0.0013495256456468171,0.0005912731482135182,0.0022057176003466706,7.768420894134889e-05,0.6747628228234086,0.001800070842917667,0.6766738346055264,0.6717589218077201,0.051687993,0.65531677,0.99985045,-0.99982995,5,0.6747628228234086,20000,40,500.0,0.0,500,500,0.0013444696991180096,0.0005987418003762572,0.0021545943497260087,7.943647831472735e-05,0.672234849559005,0.00032745733530048304,0.672678233521241,0.6717480458108843,0.672234849559005,0.00032745733530048304,0.672678233521241,0.6717480458108843,0.08056511,0.23545581,0.98327833,-0.5744356,5,0.672234849559005,0.034322552382946014,70.01334179379046,69.15134399663657,0.025946957990527153,0.02659327257424593,31.28685916494578,170.53840773832053,1376.9973989380524,7
25800,7.4394935e-05,0.00014336444,3.9727402,2.6826534,0.15380175,2.7978458,1.7949592,2.6829476,0.15062921,2.7966409,1.7929913,2.680513,0.16073981,2.797408,1.758099,6.6625195,5.4104185,19.282402,-6.575949,0.7801157,1.294837,2.1027298,-2.304131,-0.32248524,0.24033406,1.0455259,-0.65554565,0.0004996591014787555,-10.166885375976562,25800,52,500.0,0.0,500,500,0.0013399304955615979,0.0006049709486716131,0.0021531510330564402,8.525988836362698e-05,0.6699652477807989,0.00022019646331458088,0.6701769209216525,0.6695527593288021,0.5416708,0.59869105,1.0,-0.9999994,5,0.6699652477807989,22500,45,500.0,0.0,500,500,0.0013406357055444115,0.0006036127205062763,0.0021530770332529045,9.251293168187748e-05,0.6703178527722061,0.00026992963903280353,0.6705485399582093,0.6698032064697399,0.6703178527722061,0.00026992963903280353,0.6705485399582093,0.6698032064697399,0.69383806,0.30112067,0.9876398,-0.94596523,5,0.6703178527722061,0.03334511164575815,67.01998037938029,68.00911029614508,0.025913306511938572,0.025269225239753723,31.107790043577552,166.22140836250037,1543.2236615233123,8
28300,0.00025782656,6.579819e-05,0.9666596,2.6453645,0.19373097,2.947596,1.8135903,2.6407156,0.19733077,2.956945,1.8086854,2.6369195,0.19980986,2.981254,1.8041401,3.6110597,7.3524113,27.502766,-7.0795426,0.15869094,1.3423373,2.8559556,-2.6757662,-0.19772278,0.2516435,0.41033837,-0.8582916,0.0002492573403287679,-36.412620544433594,28300,57,500.0,0.0,500,500,0.0014656976614510612,0.0005480354235076845,0.00262275796296548,0.00016262518571906871,0.7328488307255306,0.040753049797827595,0.7951893683220495,0.6972459397427004,-0.066799045,0.72753465,0.9997669,-0.9996002,5,0.7328488307255306,25000,50,500.0,0.0,500,500,0.001406606089244365,0.000539433982033463,0.0021945144590790897,0.0001213899655909302,0.7033030446221827,0.0023052213061417466,0.7055501718753194,0.6992361446683089,0.7033030446221827,0.0023052213061417466,0.7055501718753194,0.6992361446683089,-0.037015636,0.6944132,0.999948,-0.99999595,5,0.7033030446221827,0.03441425506025553,68.01843207515776,67.15194198489189,0.02518847119063139,0.025172139517962933,30.98818381037563,166.24333273619413,1709.4719104385003,9
